Timestamp,Gender,Age,Has membership card,Rate the product quality,Rate the price range,Rate the ambiance ,Rate the service of staff,Continue to buy?
2019/10/03 11:25:13 AM GMT+8,Female,From 20 to 29,1,4,4,4,4,Yes
2019/10/03 11:32:03 AM GMT+8,Male,From 20 to 29,1,5,5,5,5,Yes
2019/10/03 12:12:22 PM GMT+8,Female,From 30 to 39,1,4,4,4,5,Yes
2019/10/03 12:13:56 PM GMT+8,Female,From 30 to 39,1,4,3,5,4,Yes
2019/10/03 1:30:06 PM GMT+8,Female,From 20 to 29,0,3,3,3,3,No
2019/10/03 2:13:11 PM GMT+8,Female,From 20 to 29,1,5,3,5,4,Yes
2019/10/03 2:34:09 PM GMT+8,Male,From 20 to 29,1,3,1,3,3,Yes
2019/10/03 3:11:13 PM GMT+8,Female,From 20 to 29,1,3,3,4,3,Yes
2019/10/03 3:44:13 PM GMT+8,Female,From 20 to 29,0,3,3,4,4,Yes
2019/10/03 4:25:38 PM GMT+8,Female,From 30 to 39,0,3,3,3,3,Yes
2019/10/03 4:41:10 PM GMT+8,Female,From 20 to 29,1,4,3,3,4,Yes
2019/10/03 5:19:31 PM GMT+8,Male,From 30 to 39,1,4,2,4,4,Yes
2019/10/03 6:24:46 PM GMT+8,Male,From 20 to 29,0,3,2,3,3,Yes
2019/10/03 6:31:44 PM GMT+8,Male,From 20 to 29,0,3,4,3,2,Yes
2019/10/03 6:35:21 PM GMT+8,Male,From 20 to 29,1,4,2,4,3,Yes
2019/10/03 6:41:20 PM GMT+8,Male,From 30 to 39,0,4,5,4,3,Yes
2019/10/03 6:44:10 PM GMT+8,Male,Below 20,0,4,4,4,4,No
2019/10/03 6:45:28 PM GMT+8,Male,40 and above,0,4,3,4,4,Yes
2019/10/03 6:46:53 PM GMT+8,Male,From 20 to 29,0,3,3,3,3,Yes
2019/10/03 7:00:47 PM GMT+8,Female,Below 20,0,3,2,2,3,Yes
2019/10/03 7:14:53 PM GMT+8,Male,From 20 to 29,0,3,3,1,3,No
2019/10/03 7:40:31 PM GMT+8,Male,From 20 to 29,0,3,3,3,3,No
2019/10/03 7:43:00 PM GMT+8,Male,From 20 to 29,0,4,2,5,4,No
2019/10/03 7:47:00 PM GMT+8,Female,From 20 to 29,0,5,4,4,4,Yes
2019/10/03 7:58:17 PM GMT+8,Male,From 20 to 29,0,1,1,1,1,No
2019/10/03 8:58:26 PM GMT+8,Female,Below 20,0,3,4,5,4,Yes
2019/10/03 9:25:36 PM GMT+8,Male,40 and above,0,2,2,2,3,No
2019/10/03 10:38:42 PM GMT+8,Male,Below 20,0,5,5,5,5,Yes
2019/10/03 11:24:55 PM GMT+8,Male,From 30 to 39,0,4,4,4,3,Yes
2019/10/04 12:24:26 AM GMT+8,Male,40 and above,1,3,3,3,4,Yes
2019/10/04 9:30:09 AM GMT+8,Male,From 20 to 29,1,5,5,5,5,Yes
2019/10/04 1:46:07 PM GMT+8,Male,From 20 to 29,0,3,2,3,3,No
2019/10/05 11:01:14 AM GMT+8,Female,From 20 to 29,0,4,4,4,4,Yes
2019/10/05 4:57:22 PM GMT+8,Male,From 20 to 29,0,1,1,4,3,No
